product,currency,customer_gender,day_of_week,order_date,order_id,taxful_total_price,total_quantity,geoip.continent_name,geoip.city_name
Paddle gonflable,EUR,MALE,Monday,2025-01-20T09:28:48+00:00,584677,36.98,2,Africa,Cairo
Rouleau de massage,EUR,FEMALE,Sunday,2025-01-19T21:59:02+00:00,584021,53.98,2,Asia,Dubai
Paddle gonflable,EUR,FEMALE,Sunday,2025-01-19T22:32:10+00:00,584058,199.98,2,North America,Los Angeles
Rouleau de massage,EUR,FEMALE,Sunday,2025-01-19T22:58:05+00:00,584093,174.98,2,Europe,
Roller,EUR,MALE,Monday,2025-01-13T03:48:58+00:00,574916,80.98,2,Africa,Cairo
Casquette de sport,EUR,FEMALE,Sunday,2025-01-12T21:44:38+00:00,574586,71.98,2,Europe,
Sac de sport,EUR,MALE,Monday,2025-01-06T09:27:22+00:00,565855,45.98,2,Europe,
Maillot de bain,EUR,MALE,Monday,2025-01-20T02:19:41+00:00,723055,138.96,4,Africa,Cairo
Lunettes de natation,EUR,FEMALE,Sunday,2025-01-12T00:59:02+00:00,727462,88.96,4,Europe,Monte Carlo
Montre de sport,EUR,FEMALE,Monday,2025-01-20T03:41:46+00:00,727269,171.96,4,Asia,Dubai
Bonnet de natation,EUR,FEMALE,Monday,2025-01-13T10:46:34+00:00,727381,142.96,4,Asia,Dubai
Bouteille isotherme,EUR,MALE,Tuesday,2025-01-21T13:10:34+00:00,718424,68.96,4,Africa,Cairo
Chaussures de randonnée,EUR,MALE,Wednesday,2025-01-22T14:15:22+00:00,720666,124.96,4,Asia,Abu Dhabi
Chaussures de piscine,EUR,MALE,Monday,2025-01-13T19:59:31+00:00,715061,266.96,4,Africa,Cairo
Rouleau de massage,EUR,MALE,Tuesday,2025-01-14T21:24:29+00:00,721826,174.96,4,Asia,Abu Dhabi
Bandes élastiques de musculation,EUR,MALE,Saturday,2025-01-25T08:28:19+00:00,716724,173.96,4,Asia,Abu Dhabi
Casque de vélo,EUR,MALE,Thursday,2025-01-16T04:48:00+00:00,578916,41.98,2,Europe,Birmingham
Casque de vélo,EUR,MALE,Wednesday,2025-01-15T18:23:02+00:00,578355,39.98,2,Europe,
Ski,EUR,MALE,Tuesday,2025-01-14T11:32:38+00:00,576663,37.98,2,Africa,Marrakesh
